ts_code,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type,update_flag
002747.SZ,20251231,自动化核心部件及运动控制系统,891183061.95,271182847.98,620000213.97,CNY,0
002747.SZ,20251231,工业机器人及智能制造系统,3996827901.69,1168338514.5,2828489387.19,CNY,0
002747.SZ,20250630,自动化核心部件及运动控制系统,456418616.7,139566502.65,316852114.05,CNY,1
002747.SZ,20250630,智能装备核心控制功能部件,456418616.7,139566502.65,316852114.05,CNY,0
002747.SZ,20250630,工业机器人及智能制造系统,2092157941.21,564853561.05,1527304380.16,CNY,1
002747.SZ,20250630,工业机器人及成套设备,2092157941.21,564853561.05,1527304380.16,CNY,0
002747.SZ,20241231,自动化核心部件及运动控制系统,976276495.82,307769763.49,668506732.33,CNY,1
002747.SZ,20241231,智能装备核心控制功能部件,976276495.82,307769763.49,668506732.33,CNY,0
002747.SZ,20241231,工业机器人及智能制造系统,3032495180.3,877538557.57,2154956622.73,CNY,1
002747.SZ,20241231,工业机器人及成套设备,3032495180.3,877538557.57,2154956622.73,CNY,0
002747.SZ,20240630,自动化核心部件及运动控制系统,515747949.64,171095464.46,344652485.18,CNY,1
002747.SZ,20240630,智能装备核心控制功能部件,515747949.64,171095464.46,344652485.18,CNY,0
002747.SZ,20240630,工业机器人及智能制造系统,1653326676.4,465123597.8,1188203078.6,CNY,1
002747.SZ,20240630,工业机器人及成套设备,1653326676.4,465123597.8,1188203078.6,CNY,0
002747.SZ,20231231,自动化核心部件及运动控制系统,1040014849.92,355621724.58,684393125.34,CNY,1
002747.SZ,20231231,智能装备核心控制功能部件,1040014849.92,355621724.58,684393125.34,CNY,0
002747.SZ,20231231,工业机器人及智能制造系统,3611934404.05,1129815044.33,2482119359.72,CNY,1
002747.SZ,20231231,工业机器人及成套设备,3611934404.05,1129815044.33,2482119359.72,CNY,0
002747.SZ,20230630,自动化核心部件及运动控制系统,508965059.49,162357845.49,346607214.0,CNY,1
002747.SZ,20230630,智能装备核心控制功能部件,508965059.49,162357845.49,346607214.0,CNY,0
002747.SZ,20230630,工业机器人及智能制造系统,1732113878.44,579195586.44,1152918292.0,CNY,1
002747.SZ,20230630,工业机器人及成套设备,1732113878.44,579195586.44,1152918292.0,CNY,0
002747.SZ,20230630,其他业务,,,0.47,CNY,0
002747.SZ,20221231,自动化核心部件及运动控制系统,1025479750.29,360755955.55,664723794.74,CNY,1
002747.SZ,20221231,智能装备核心控制功能部件,1025479750.29,360755955.55,664723794.74,CNY,0
002747.SZ,20221231,工业机器人及智能制造系统,2855298767.37,952931885.85,1902366881.52,CNY,1
002747.SZ,20221231,工业机器人及成套设备,2855298767.37,952931885.85,1902366881.52,CNY,0
002747.SZ,20220630,自动化核心部件及运动控制系统,475732150.99,146916508.75,328815642.24,CNY,1
002747.SZ,20220630,智能装备核心控制功能部件,475732150.99,146916508.75,328815642.24,CNY,0
002747.SZ,20220630,工业机器人及智能制造系统,1179609446.7,401607006.75,778002439.95,CNY,1
002747.SZ,20220630,工业机器人及成套设备,1179609446.7,401607006.75,778002439.95,CNY,0
002747.SZ,20211231,自动化核心部件及运动控制系统,988088472.37,317776618.91,670311853.46,CNY,1
002747.SZ,20211231,智能装备核心控制功能部件,988088472.37,317776618.91,670311853.46,CNY,0
002747.SZ,20211231,工业机器人及智能制造系统,2017949280.6,651804836.14,1366144444.46,CNY,1
002747.SZ,20211231,工业机器人及成套设备,2017949280.6,651804836.14,1366144444.46,CNY,0
002747.SZ,20211231,其他业务,14339599.59,13258862.97,1080736.62,CNY,0
002747.SZ,20210630,自动化核心部件及运动控制系统,476541411.2,144192056.42,332349354.78,CNY,1
002747.SZ,20210630,智能装备核心控制功能部件,476541411.2,144192056.42,332349354.78,CNY,0
002747.SZ,20210630,工业机器人及智能制造系统,1085078197.99,374404879.39,710673318.6,CNY,1
002747.SZ,20210630,工业机器人及成套设备,1085078197.99,374404879.39,710673318.6,CNY,0
002747.SZ,20201231,自动化核心部件及运动控制系统,839400090.28,275102193.35,564297896.93,CNY,1
002747.SZ,20201231,智能装备核心控制功能部件,839400090.28,275102193.35,564297896.93,CNY,0
002747.SZ,20201231,工业机器人及智能制造系统,1656835258.74,568708246.78,1088127011.96,CNY,1
002747.SZ,20201231,工业机器人及成套设备,1656835258.74,568708246.78,1088127011.96,CNY,0
002747.SZ,20201231,其他业务,13931211.83,12831975.61,1099236.22,CNY,0
002747.SZ,20200630,自动化核心部件及运动控制系统,345927781.66,139251922.86,206675858.8,CNY,1
002747.SZ,20200630,智能装备核心控制功能部件,345927781.66,139251922.86,206675858.8,CNY,0
002747.SZ,20200630,工业机器人及智能制造系统,826749521.2,292827155.88,533922365.32,CNY,1
002747.SZ,20200630,工业机器人及成套设备,826749521.2,292827155.88,533922365.32,CNY,0
002747.SZ,20191231,自动化核心部件及运动控制系统,721039612.85,294211333.2,426828279.65,CNY,1
002747.SZ,20191231,智能装备核心控制功能部件,721039612.85,294211333.2,426828279.65,CNY,0
002747.SZ,20191231,工业机器人及智能制造系统,700420102.42,217615146.31,482804956.11,CNY,1
002747.SZ,20191231,工业机器人及成套设备,700420102.42,217615146.31,482804956.11,CNY,0
002747.SZ,20190630,自动化核心部件及运动控制系统,358919811.58,150715337.14,208204474.44,CNY,1
002747.SZ,20190630,智能装备核心控制功能部件,358919811.58,150715337.14,208204474.44,CNY,0
002747.SZ,20190630,工业机器人及智能制造系统,322549021.24,100592580.02,221956441.22,CNY,1
002747.SZ,20190630,工业机器人及成套设备,322549021.24,100592580.02,221956441.22,CNY,0
002747.SZ,20181231,自动化核心部件及运动控制系统,726108395.98,302451475.15,423656920.83,CNY,1
002747.SZ,20181231,智能装备核心控制功能部件,726108395.98,302451475.15,423656920.83,CNY,0
002747.SZ,20181231,工业机器人及智能制造系统,734916182.28,223306181.64,511610000.64,CNY,1
002747.SZ,20181231,工业机器人及成套设备,734916182.28,223306181.64,511610000.64,CNY,0
002747.SZ,20180630,自动化核心部件及运动控制系统,370372699.88,144810595.26,225562104.62,CNY,1
002747.SZ,20180630,智能装备核心控制功能部件,370372699.88,144810595.26,225562104.62,CNY,0
002747.SZ,20180630,工业机器人及智能制造系统,354619790.96,117276600.73,237343190.23,CNY,1
002747.SZ,20180630,工业机器人及成套设备,354619790.96,117276600.73,237343190.23,CNY,1
002747.SZ,20171231,自动化核心部件及运动控制系统,587473111.24,215039909.5,372433201.74,CNY,1
002747.SZ,20171231,智能装备核心控制功能部件,587473111.24,215039909.5,372433201.74,CNY,0
002747.SZ,20171231,工业机器人及智能制造系统,489029991.42,144900552.91,344129438.51,CNY,1
002747.SZ,20171231,工业机器人及成套设备,489029991.42,144900552.91,344129438.51,CNY,0
002747.SZ,20170630,自动化核心部件及运动控制系统,250653330.25,97714536.03,152938794.22,CNY,1
002747.SZ,20170630,智能装备核心控制功能部件,250653330.25,97714536.03,152938794.22,CNY,0
002747.SZ,20170630,工业机器人及智能制造系统,168731561.52,43950557.0,124781004.52,CNY,1
002747.SZ,20170630,工业机器人及成套设备,168731561.52,43950557.0,124781004.52,CNY,0
002747.SZ,20161231,自动化核心部件及运动控制系统,466884829.35,152609531.35,314275298.0,CNY,1
002747.SZ,20161231,智能装备核心控制功能部件,466884829.35,152609531.35,314275298.0,CNY,0
002747.SZ,20161231,工业机器人及智能制造系统,211092919.57,61696706.68,149396212.89,CNY,1
002747.SZ,20161231,工业机器人及成套设备,211092919.57,61696706.68,149396212.89,CNY,0
002747.SZ,20161231,其他业务,371973.11,,,CNY,0
002747.SZ,20160630,自动化核心部件及运动控制系统,199508409.48,71869179.87,127639229.61,CNY,1
002747.SZ,20160630,智能装备核心控制功能部件,199508409.48,71869179.87,127639229.61,CNY,0
002747.SZ,20160630,工业机器人及智能制造系统,45085466.75,11417857.27,33667609.48,CNY,1
002747.SZ,20160630,工业机器人及成套设备,45085466.75,11417857.27,33667609.48,CNY,0
002747.SZ,20151231,自动化核心部件及运动控制系统,404067925.48,142898246.98,261169678.5,CNY,1
002747.SZ,20151231,智能装备核心控制功能部件,404067925.48,142898246.98,261169678.5,CNY,0
002747.SZ,20151231,工业机器人及智能制造系统,78849839.14,24502628.08,54347211.06,CNY,1
002747.SZ,20151231,工业机器人及成套设备,78849839.14,24502628.08,54347211.06,CNY,0
002747.SZ,20151231,其他业务,226338.73,16204.5,210134.23,CNY,0
002747.SZ,20150630,配件及其他,4149744.27,1794530.17,2355214.1,CNY,1
002747.SZ,20150630,自动化核心部件及运动控制系统,199460943.22,72318861.62,127142081.6,CNY,1
002747.SZ,20150630,智能装备核心控制功能部件,199460943.22,72318861.62,127142081.6,CNY,1
002747.SZ,20150630,工业机器人及智能制造系统,32139915.08,7878675.74,24261239.34,CNY,1
002747.SZ,20150630,工业机器人及成套设备,32139915.08,7878675.74,24261239.34,CNY,1
002747.SZ,20150630,其他业务,208853.52,108786.41,100067.11,CNY,0
002747.SZ,20141231,配件及其他,19076100.4,7245014.02,11831086.38,CNY,1
002747.SZ,20141231,电液伺服系统,105804638.08,28917033.72,76887604.36,CNY,1
002747.SZ,20141231,数控系统,256654120.9,92847875.18,163806245.72,CNY,0
002747.SZ,20141231,工业机器人及智能制造系统,39713452.82,8085351.57,31628101.25,CNY,1
002747.SZ,20141231,工业机器人及成套设备,39713452.82,8085351.57,31628101.25,CNY,1
002747.SZ,20141231,交流伺服系统,90618414.91,28757098.52,61861316.39,CNY,1
002747.SZ,20140930,配件及其他,12162080.18,4647948.74,7514131.44,CNY,1
002747.SZ,20140930,电液伺服系统,78933313.69,22092162.36,56841151.33,CNY,1
002747.SZ,20140930,数控系统,198077173.92,70191855.38,127885318.54,CNY,1
002747.SZ,20140930,工业机器人及智能制造系统,18574135.45,3984348.3,14589787.15,CNY,1
002747.SZ,20140930,工业机器人及成套设备,18574135.45,3984348.3,14589787.15,CNY,1
002747.SZ,20140930,其他业务,255884.31,111256.24,144628.07,CNY,0
002747.SZ,20140930,交流伺服系统,58678132.69,18539342.49,40138790.2,CNY,1
002747.SZ,20131231,配件及其他,13668341.25,4917158.33,8751182.92,CNY,0
002747.SZ,20131231,电液伺服系统,97719467.84,27762131.52,69957336.32,CNY,1
002747.SZ,20131231,数控系统,250960757.74,88921680.29,162039077.45,CNY,1
002747.SZ,20131231,工业机器人及智能制造系统,11957748.89,3131105.6,8826643.29,CNY,1
002747.SZ,20131231,工业机器人及成套设备,11957748.89,3131105.6,8826643.29,CNY,1
002747.SZ,20131231,其他业务,521698.02,300412.7,221285.32,CNY,0
002747.SZ,20131231,交流伺服系统,75298788.96,22195306.31,53103482.65,CNY,1
002747.SZ,20121231,配件及其他,24434473.23,8546299.51,15888173.72,CNY,0
002747.SZ,20121231,电液伺服系统,85579038.15,25281493.39,60297544.76,CNY,1
002747.SZ,20121231,数控系统,220590917.01,75404555.13,145186361.88,CNY,1
002747.SZ,20121231,工业机器人及智能制造系统,2571286.32,639010.07,1932276.25,CNY,1
002747.SZ,20121231,工业机器人及成套设备,2571286.32,639010.07,1932276.25,CNY,0
002747.SZ,20121231,其他业务,382820.28,168201.08,214619.2,CNY,0
002747.SZ,20121231,交流伺服系统,64507100.56,16925884.05,47581216.51,CNY,1
002747.SZ,20111231,配件及其他,32230113.18,11390122.63,20839990.55,CNY,1
002747.SZ,20111231,电液伺服系统,93602959.62,26117461.18,67485498.44,CNY,1
002747.SZ,20111231,数控系统,268408924.47,77045214.23,191363710.24,CNY,1
002747.SZ,20111231,其他业务,407904.01,10742.17,397161.84,CNY,0
002747.SZ,20111231,交流伺服系统,87792666.34,24540651.64,63252014.7,CNY,1
