ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605499.SH,20260417,194.0,201.31,192.33,199.8,194.26,5.54,2.8518,61558.34,1222154.884
605499.SH,20260416,193.03,195.22,192.25,194.26,193.5,0.76,0.3928,42819.98,830929.289
605499.SH,20260415,191.37,195.57,190.0,193.5,191.23,2.27,1.1871,57509.01,1113937.878
605499.SH,20260414,195.65,195.67,188.01,191.23,193.95,-2.72,-1.4024,69401.34,1322352.908
605499.SH,20260413,197.4,198.05,193.3,193.95,200.12,-6.17,-3.0832,42423.57,825960.107
605499.SH,20260410,201.64,203.3,199.01,200.12,201.61,-1.49,-0.7391,36368.76,729989.605
605499.SH,20260409,204.94,205.72,200.87,201.61,206.33,-4.72,-2.2876,30737.13,622105.158
605499.SH,20260408,203.0,208.77,199.74,206.33,198.04,8.29,4.186,51997.18,1067683.273
605499.SH,20260407,202.18,202.2,197.48,198.04,202.27,-4.23,-2.0913,26064.94,519137.398
605499.SH,20260403,206.88,207.88,201.5,202.27,206.88,-4.61,-2.2283,26386.32,535869.065
605499.SH,20260402,212.11,217.27,206.38,206.88,210.4,-3.52,-1.673,48403.32,1021492.158
605499.SH,20260401,207.91,213.37,203.68,210.4,205.27,5.13,2.4991,48015.41,999993.865
605499.SH,20260331,221.16,222.44,205.22,205.27,227.99,-22.72,-9.9653,104516.43,2186362.683
605499.SH,20260330,228.0,229.49,223.22,227.99,225.0,2.99,1.3289,20795.67,472187.1
605499.SH,20260327,218.6,226.34,216.1,225.0,218.75,6.25,2.8571,24168.98,538814.877
605499.SH,20260326,228.99,230.24,218.18,218.75,228.9,-10.15,-4.4343,18811.05,419195.742
605499.SH,20260325,225.99,230.0,224.28,228.9,224.5,4.4,1.9599,12858.9,292678.744
605499.SH,20260324,222.02,225.2,219.6,224.5,219.46,5.04,2.2965,21210.92,474207.634
605499.SH,20260323,225.08,225.8,217.6,219.46,228.09,-8.63,-3.7836,18620.38,410993.809
605499.SH,20260320,229.96,232.49,228.09,228.09,229.95,-1.86,-0.8089,16288.71,374474.263
605499.SH,20260319,232.56,233.94,229.53,229.95,234.3,-4.35,-1.8566,10543.62,243812.202
605499.SH,20260318,237.5,239.85,233.14,234.3,237.5,-3.2,-1.3474,11821.41,277716.185
605499.SH,20260317,238.95,243.75,237.11,237.5,238.95,-1.45,-0.6068,22655.79,545436.362
605499.SH,20260316,226.8,240.0,226.01,238.95,227.2,11.75,5.1717,33429.86,785058.046
605499.SH,20260313,225.5,228.51,223.51,227.2,226.62,0.58,0.2559,34264.65,778036.912
605499.SH,20260312,237.3,237.3,226.62,226.62,237.53,-10.91,-4.5931,36828.84,844896.255
605499.SH,20260311,240.0,240.0,236.53,237.53,239.08,-1.55,-0.6483,15380.88,365515.011
605499.SH,20260310,235.66,241.99,233.57,239.08,235.84,3.24,1.3738,26553.76,631966.54
605499.SH,20260309,233.5,237.05,230.7,235.84,235.0,0.84,0.3574,23996.17,561794.522
605499.SH,20260306,234.0,235.97,231.58,235.0,234.31,0.69,0.2945,13893.75,325298.358
605499.SH,20260305,232.1,237.2,232.1,234.31,230.4,3.91,1.697,18530.4,435001.14
605499.SH,20260304,233.95,234.93,229.1,230.4,234.98,-4.58,-1.9491,23239.63,537288.162
605499.SH,20260303,237.3,242.3,234.3,234.98,237.29,-2.31,-0.9735,29261.02,696311.037
605499.SH,20260302,239.0,244.98,237.03,237.29,241.56,-4.27,-1.7677,29741.42,711577.375
605499.SH,20260227,250.0,252.25,238.05,241.56,253.76,-12.2,-4.8077,61386.71,1493879.144
605499.SH,20260226,259.8,263.36,253.1,253.76,260.49,-6.73,-2.5836,18776.05,481681.067
605499.SH,20260225,260.72,262.68,257.96,260.49,260.9,-0.41,-0.1571,14332.8,372412.939
605499.SH,20260224,266.73,268.8,260.9,260.9,264.8,-3.9,-1.4728,15113.49,396857.865
605499.SH,20260213,268.56,268.71,264.06,264.8,267.9,-3.1,-1.1571,9420.79,250213.957
605499.SH,20260212,270.02,270.02,266.79,267.9,269.18,-1.28,-0.4755,11899.38,319017.359
605499.SH,20260211,269.09,270.72,267.07,269.18,270.73,-1.55,-0.5725,13168.73,354286.334
605499.SH,20260210,273.44,273.99,268.0,270.73,274.0,-3.27,-1.1934,16035.13,433002.304
605499.SH,20260209,271.86,279.0,271.86,274.0,275.79,-1.79,-0.649,20028.2,551401.233
605499.SH,20260206,272.51,278.88,269.01,275.79,274.51,1.28,0.4663,26992.4,744678.549
605499.SH,20260205,268.72,277.49,267.5,274.51,268.65,5.86,2.1813,39924.57,1097329.995
605499.SH,20260204,251.1,269.2,251.1,268.65,253.96,14.69,5.7844,39299.47,1033687.139
605499.SH,20260203,257.0,262.57,252.6,253.96,257.0,-3.04,-1.1829,26630.06,680876.077
605499.SH,20260202,250.14,264.0,250.14,257.0,250.14,6.86,2.7425,32339.25,837006.239
605499.SH,20260130,263.9,263.9,250.14,250.14,262.5,-12.36,-4.7086,30879.9,790474.285
605499.SH,20260129,258.0,263.84,252.51,262.5,254.51,7.99,3.1394,39819.45,1033089.87
605499.SH,20260128,245.62,258.58,245.62,254.51,245.81,8.7,3.5393,47712.17,1210312.15
605499.SH,20260127,251.99,252.18,245.0,245.81,250.8,-4.99,-1.9896,24492.57,606486.712
605499.SH,20260126,253.0,253.5,247.8,250.8,253.36,-2.56,-1.0104,26302.34,659483.681
605499.SH,20260123,256.61,257.0,251.62,253.36,256.17,-2.81,-1.0969,23141.46,587837.121
605499.SH,20260122,250.88,257.28,250.0,256.17,251.09,5.08,2.0232,34707.19,886002.661
605499.SH,20260121,256.66,258.0,250.71,251.09,257.38,-6.29,-2.4439,28862.87,730383.27
605499.SH,20260120,260.79,263.8,257.01,257.38,260.49,-3.11,-1.1939,24224.25,628107.896
605499.SH,20260119,267.0,272.49,259.58,260.49,266.86,-6.37,-2.387,31913.61,840900.108
605499.SH,20260116,271.85,273.19,266.5,266.86,271.85,-4.99,-1.8356,19220.73,518332.579
605499.SH,20260115,264.68,275.68,263.35,271.85,264.68,7.17,2.7089,25031.62,679953.227
605499.SH,20260114,271.67,272.2,259.01,264.68,272.61,-7.93,-2.9089,35528.19,943494.83
605499.SH,20260113,272.62,279.21,271.0,272.61,274.3,-1.69,-0.6161,18238.81,500974.011
605499.SH,20260112,275.8,278.91,272.62,274.3,277.3,-3.0,-1.0819,16040.42,440650.602
605499.SH,20260109,279.0,280.49,276.5,277.3,278.87,-1.57,-0.563,11365.95,316170.307
605499.SH,20260108,269.2,281.51,269.11,278.87,270.02,8.85,3.2775,25318.16,701686.771
605499.SH,20260107,277.14,277.95,269.3,270.02,278.0,-7.98,-2.8705,21370.02,582457.02
605499.SH,20260106,278.37,278.9,274.38,278.0,278.28,-0.28,-0.1006,15232.77,421384.724
605499.SH,20260105,267.89,280.39,267.81,278.28,267.39,10.89,4.0727,25729.3,712281.592
